Manufacturer,Model,Description,Transmission,Manual or Automatic,Engine Capacity,Fuel Type,Powertrain,Engine Power (PS),Engine Power (Kw),Electric energy consumption Miles/kWh,wh/km,Maximum range (Km),Maximum range (Miles),Euro Standard,Diesel VED Supplement,Testing Scheme,WLTP Imperial Low,WLTP Imperial Medium,WLTP Imperial High,WLTP Imperial Extra High,WLTP Imperial Combined,WLTP Imperial Combined (Weighted),WLTP Metric Low,WLTP Metric Medium,WLTP Metric High,WLTP Metric Extra High,WLTP Metric Combined,WLTP Metric Combined (Weighted),WLTP CO2,WLTP CO2 Weighted,Equivalent All Electric Range Miles,Equivalent All Electric Range KM,Electric Range City Miles,Electric Range City Km,Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km],Particulates [No.] [mg/km],RDE NOx Urban,RDE NOx Combined,Noise Level dB(A),Date of change,
ABARTH,500e MY25,114kW Electric ,A1,Electric - Not Applicable,0,Electricity,Battery Electric Vehicle (BEV) / Pure Electric Vehicle / Electric Vehicle (EV),155,114,3.6,172,264,164,Euro 6-WLTP (for BEVs only),False,WLTP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,223,359,0,,,,,,,68.0,27 November 2025,
ABARTH,500e MY25,114kW Electric,A1,Electric - Not Applicable,0,Electricity,Battery Electric Vehicle (BEV) / Pure Electric Vehicle / Electric Vehicle (EV),155,114,3.3,187,244,152,Euro 6-WLTP (for BEVs only),False,WLTP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,205,330,0,,,,,,,68.0,27 November 2025,
ABARTH,500e MY25,114kW Electric Convertible ,A1,Electric - Not Applicable,0,Electricity,Battery Electric Vehicle (BEV) / Pure Electric Vehicle / Electric Vehicle (EV),155,114,3.6,172,264,164,Euro 6-WLTP (for BEVs only),False,WLTP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,223,359,0,,,,,,,68.0,27 November 2025,
ABARTH,500e MY25,114kW Electric Convertible ,A1,Electric - Not Applicable,0,Electricity,Battery Electric Vehicle (BEV) / Pure Electric Vehicle / Electric Vehicle (EV),155,114,3.3,187,244,152,Euro 6-WLTP (for BEVs only),False,WLTP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,205,330,0,,,,,,,68.0,27 November 2025,
ABARTH,600e MY25,54kWh 240hp ,A1,Electric - Not Applicable,0,Electricity,Battery Electric Vehicle (BEV) / Pure Electric Vehicle / Electric Vehicle (EV),238,175,3.6,175,344,214,Euro 6-WLTP (for BEVs only),False,WLTP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,287,462,0,,,,,,,69.0,27 November 2025,
ABARTH,600e MY25,54kWh 240hp ,A1,Electric - Not Applicable,0,Electricity,Battery Electric Vehicle (BEV) / Pure Electric Vehicle / Electric Vehicle (EV),238,175,3.3,190,315,196,Euro 6-WLTP (for BEVs only),False,WLTP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,262,422,0,,,,,,,69.0,27 November 2025,
ABARTH,600e MY25,54kWh 280hp ,A1,Electric - Not Applicable,0,Electricity,Battery Electric Vehicle (BEV) / Pure Electric Vehicle / Electric Vehicle (EV),281,207,3.6,175,344,214,Euro 6-WLTP (for BEVs only),False,WLTP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,287,462,0,,,,,,,69.0,27 November 2025,
ABARTH,600e MY25,54kWh 280hp ,A1,Electric - Not Applicable,0,Electricity,Battery Electric Vehicle (BEV) / Pure Electric Vehicle / Electric Vehicle (EV),281,207,3.3,190,315,196,Euro 6-WLTP (for BEVs only),False,WLTP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,262,422,0,,,,,,,69.0,27 November 2025,
ALFA ROMEO,Giulia MY25,2.0 TURBO PETROL 280HP ,A8,Automatic,1995,Petrol,Internal Combustion Engine (ICE),280,206,,,,0,Euro 6 EA,False,WLTP,24.7,39.4,48.8,43.6,40,0,11.5,7.2,5.8,6.5,7.1,0,160,0,0,,0,,362,32,17,,,60,60,67.0,27 November 2025,
ALFA ROMEO,Giulia MY25,2.0 TURBO PETROL 280HP,A8,Automatic,1995,Petrol,Internal Combustion Engine (ICE),280,206,,,,0,Euro 6 EA,False,WLTP,23.6,35.7,43.8,39.9,36.6,0,12,7.9,6.5,7.1,7.7,0,174,0,0,,0,,362,32,17,,,60,60,67.0,27 November 2025,
ALFA ROMEO,Junior MY25,IBRIDA 136 ,A6,Automatic,1199,Petrol Electric,Mild Hybrid Electric Vehicle (MHEV),136,100,,,,0,Euro 6 EB,False,WLTP,76.3,68.9,68.9,51.4,62.8,0,3.7,4.1,4.1,5.5,4.5,0,102,0,0,,0,,363,18,17,,,60,60,65.0,27 November 2025,
